Stationsnamn;Stationsid;Stationens latitud;Stationens longitud,
EDEBÄCK;274;60.0638;13.5582,
,
Parameternamn;Enhet,
Vattenföring;m³/s,
,
Datum (svensk sommartid);Vattenföring;Kvalitet;,
1910-01-01;70.0000;G;;;Tidsperiod (fr.o.m.) = 1909-12-31 22:00:00 (UTC),
1910-01-02;70.0000;G;;;Tidsperiod (t.o.m.) = 1947-12-30 22:00:00 (UTC),
1910-01-03;70.0000;G;;;,
1910-01-04;69.0000;G;;;Ett dygnsvärde mäts enligt svensk sommartid, d v s kl 22-22 UTC.
1910-01-05;69.0000;G;;;,
1910-01-06;69.0000;G;;;Kvalitetskoderna:,
1910-01-07;69.0000;G;;;Grön (G) = Kontrollerade och godkända värden.,
1910-01-08;68.0000;G;;;Gul (Y) = Grovt kontrollerade värden.,
1910-01-09;68.0000;G;;;Orange (O) = Okontrollerade värden.,
1910-01-10;68.0000;G;;;,
1910-01-11;68.0000;G;;;Orsaker till saknade data:,
1910-01-12;68.0000;G;;;  stationen eller givaren har varit ur funktion.,
1910-01-13;67.0000;G;;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1910-10-29;66.0000;G;,
1910-10-30;62.0000;G;,
1910-10-31;64.0000;G;,
1910-11-01;64.0000;G;,
1910-11-02;63.0000;G;,
1910-11-03;62.0000;G;,
1910-11-04;60.0000;G;,
1910-11-05;59.0000;G;,
1910-11-06;57.0000;G;,
1910-11-07;56.0000;G;,
1910-11-08;54.0000;G;,
1910-11-09;65.0000;G;,
1910-11-10;81.0000;G;,
1910-11-11;86.0000;G;,
1910-11-12;75.0000;G;,
1910-11-13;65.0000;G;,
1910-11-14;64.0000;G;,
1910-11-15;64.0000;G;,
1910-11-16;57.0000;G;,
1910-11-17;57.0000;G;,
1910-11-18;57.0000;G;,
1910-11-19;57.0000;G;,
1910-11-20;57.0000;G;,
1910-11-21;57.0000;G;,
1910-11-22;57.0000;G;,
1910-11-23;57.0000;G;,
1910-11-24;57.0000;G;,
1910-11-25;56.0000;G;,
1910-11-26;56.0000;G;,
1910-11-27;56.0000;G;,
1910-11-28;56.0000;G;,
1910-11-29;56.0000;G;,
1910-11-30;56.0000;G;,
1910-12-01;56.0000;G;,
1910-12-02;56.0000;G;,
1910-12-03;55.0000;G;,
1910-12-04;55.0000;G;,
1910-12-05;55.0000;G;,
